gene,selected_by_anova,selected_by_nsc,selected_by_both
gene_89,True,True,True
gene_8906,True,True,True
gene_8941,True,True,True
gene_8976,True,False,False
gene_8977,True,True,True
gene_8988,True,True,True
gene_9001,False,True,False
gene_9002,True,False,False
gene_9059,True,False,False
gene_9075,True,True,True
gene_9082,True,False,False
gene_91,True,True,True
gene_9111,True,False,False
gene_9118,True,False,False
gene_9169,False,True,False
gene_9173,True,True,True
gene_9174,False,True,False
gene_9175,True,True,True
gene_9176,True,True,True
gene_9177,True,True,True
gene_9178,False,True,False
gene_9183,False,True,False
gene_9184,True,True,True
gene_919,True,True,True
gene_9197,True,True,True
gene_9198,True,False,False
gene_9209,False,True,False
gene_9214,True,True,True
gene_9226,False,True,False
gene_9232,True,True,True
gene_9234,False,True,False
gene_9267,True,False,False
gene_936,True,True,True
gene_9362,True,True,True
gene_9380,False,True,False
gene_9423,True,True,True
gene_947,True,False,False
gene_9480,False,True,False
gene_9483,True,False,False
gene_9493,False,True,False
gene_9498,False,True,False
gene_951,True,True,True
gene_9511,True,True,True
gene_9526,False,True,False
gene_9529,True,True,True
gene_9539,False,True,False
gene_9542,True,True,True
gene_9544,True,True,True
gene_9564,True,True,True
gene_9608,True,True,True
gene_9612,True,True,True
gene_9626,True,True,True
gene_9643,True,True,True
gene_9652,True,True,True
gene_967,True,False,False
gene_9706,True,True,True
gene_971,False,True,False
gene_9711,True,True,True
gene_9713,True,True,True
gene_973,False,True,False
gene_9761,True,False,False
gene_9802,False,True,False
gene_9809,True,True,True
gene_9831,True,True,True
gene_9844,True,True,True
gene_9878,True,True,True
gene_9880,False,True,False
gene_9927,True,True,True
gene_9930,True,True,True
gene_9936,False,True,False
gene_994,True,True,True
gene_9979,True,True,True
gene_9988,True,False,False
